Date,Open
2023-05-25,69.650002
2023-05-26,69.620003
2023-05-29,70.989998
2023-05-30,70.209999
2023-05-31,71.000000
2023-06-01,70.489998
2023-06-02,71.309998
2023-06-05,71.120003
2023-06-06,70.889999
2023-06-07,72.849998
2023-06-08,70.889999
2023-06-09,72.110001
2023-06-12,73.000000
2023-06-13,72.269997
2023-06-14,71.699997
2023-06-15,71.139999
2023-06-16,71.129997
2023-06-19,71.790001
2023-06-20,71.750000
2023-06-21,71.500000
2023-06-22,68.300003
2023-06-23,66.989998
2023-06-26,68.000000
2023-06-27,69.879997
2023-06-28,68.800003
2023-06-30,68.540001
2023-07-03,68.250000
2023-07-04,68.760002
2023-07-05,68.940002
2023-07-06,69.510002
2023-07-07,68.980003
2023-07-10,72.389999
2023-07-11,73.129997
2023-07-12,70.089996
2023-07-13,71.830002
2023-07-14,73.500000
2023-07-17,73.529999
2023-07-18,73.879997
2023-07-19,74.050003
2023-07-20,74.680000
2023-07-21,74.150002
2023-07-24,73.650002
2023-07-25,73.279999
2023-07-26,73.410004
2023-07-27,74.220001
2023-07-28,72.800003
2023-07-31,73.739998
2023-08-01,73.510002
2023-08-02,73.099998
2023-08-03,72.970001
2023-08-04,71.230003
2023-08-07,71.150002
2023-08-08,70.489998
2023-08-09,71.129997
2023-08-10,69.610001
2023-08-11,72.180000
2023-08-14,69.199997
2023-08-16,69.330002
2023-08-17,69.690002
2023-08-18,69.599998
2023-08-21,69.699997
2023-08-22,70.610001
2023-08-23,71.180000
2023-08-24,72.000000
2023-08-25,71.989998
2023-08-28,72.559998
2023-08-29,72.709999
2023-08-30,73.349998
2023-08-31,73.500000
2023-09-01,73.300003
2023-09-04,73.599998
2023-09-05,72.199997
2023-09-06,71.480003
2023-09-07,70.400002
2023-09-08,70.410004
2023-09-11,70.360001
2023-09-12,70.610001
2023-09-13,70.290001
2023-09-14,70.059998
2023-09-15,70.019997
2023-09-18,71.360001
2023-09-20,71.000000
2023-09-21,71.089996
2023-09-22,71.330002
2023-09-25,71.889999
2023-09-26,70.550003
2023-09-27,70.000000
2023-09-28,69.500000
2023-09-29,70.239998
2023-10-03,67.480003
2023-10-04,69.500000
2023-10-05,67.000000
2023-10-06,67.290001
2023-10-09,68.500000
2023-10-10,69.309998
2023-10-11,70.099998
2023-10-12,69.790001
2023-10-13,68.680000
2023-10-16,70.389999
2023-10-17,69.790001
2023-10-18,70.309998
2023-10-19,70.489998
2023-10-20,70.500000
2023-10-23,70.760002
2023-10-25,70.480003
2023-10-26,70.300003
2023-10-27,70.449997
2023-10-30,70.610001
2023-10-31,70.900002
2023-11-01,69.989998
2023-11-02,70.389999
2023-11-03,70.180000
2023-11-06,70.790001
2023-11-07,70.389999
2023-11-08,70.040001
2023-11-09,69.290001
2023-11-10,69.709999
2023-11-13,68.779999
2023-11-15,68.300003
2023-11-16,70.980003
2023-11-17,69.300003
2023-11-20,72.260002
2023-11-21,71.989998
2023-11-22,71.589996
2023-11-23,75.790001
2023-11-24,71.900002
2023-11-28,72.900002
2023-11-29,73.739998
2023-11-30,74.139999
2023-12-01,74.889999
2023-12-04,75.220001
2023-12-05,74.260002
2023-12-06,73.820000
2023-12-07,72.599998
2023-12-08,72.769997
2023-12-11,71.389999
2023-12-12,70.510002
2023-12-13,70.110001
2023-12-14,71.510002
2023-12-15,72.629997
2023-12-18,72.790001
2023-12-19,72.480003
2023-12-20,73.599998
2023-12-21,73.000000
2023-12-22,73.370003
2023-12-26,73.480003
2023-12-27,73.290001
2023-12-28,73.360001
2023-12-29,73.300003
2024-01-01,72.800003
2024-01-02,72.500000
2024-01-03,72.400002
2024-01-04,70.900002
2024-01-05,70.989998
2024-01-08,70.989998
2024-01-09,70.879997
2024-01-10,70.870003
2024-01-11,70.500000
2024-01-12,70.430000
2024-01-15,70.250000
2024-01-16,71.000000
2024-01-17,70.709999
2024-01-18,70.070000
2024-01-19,70.029999
2024-01-23,70.099998
2024-01-24,69.660004
2024-01-25,70.040001
2024-01-29,70.389999
2024-01-30,70.900002
2024-01-31,70.779999
2024-02-01,70.599998
2024-02-02,70.680000
2024-02-05,70.790001
2024-02-06,69.099998
2024-02-07,69.580002
2024-02-08,68.889999
2024-02-09,69.320000
2024-02-12,69.550003
2024-02-13,69.779999
2024-02-14,68.400002
2024-02-15,68.720001
2024-02-16,69.900002
2024-02-19,70.110001
2024-02-20,69.790001
2024-02-21,70.089996
2024-02-22,69.389999
2024-02-23,69.129997
2024-02-26,69.470001
2024-02-27,68.900002
2024-02-28,67.019997
2024-02-29,68.389999
2024-03-01,68.739998
2024-03-04,69.980003
2024-03-05,70.160004
2024-03-06,71.040001
2024-03-07,71.000000
2024-03-11,72.330002
2024-03-12,71.769997
2024-03-13,71.589996
2024-03-14,72.059998
2024-03-15,72.559998
2024-03-18,72.599998
2024-03-19,72.889999
2024-03-20,72.720001
2024-03-21,73.260002
2024-03-22,72.680000
2024-03-26,72.550003
